"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
1,"Home Page",/,1,"Making government services easier to find",http://localhost/,Home,Home,Home,Home,Home,Home,/,/,/,/,/,/,http://localhost/es/,,"USAGov English"
3,"Content Page",/health-information,94,"Get reliable health information from MedlinePlus",http://localhost/health-information,Home,Health,"Health information from MedlinePlus","Health information from MedlinePlus","Health information from MedlinePlus","Health information from MedlinePlus",/,/health,/health-information,/health-information,/health-information,/health-information,http://localhost/es/informacion-confiable-salud,,"USAGov English"
3,"Content Page",/help-with-medical-bills,95,"How to get help with medical bills",http://localhost/help-with-medical-bills,Home,Health,"Help with medical expenses","Help with medical expenses","Help with medical expenses","Help with medical expenses",/,/health,/help-with-medical-bills,/help-with-medical-bills,/help-with-medical-bills,/help-with-medical-bills,http://localhost/es/ayuda-gastos-medicos,1,"USAGov English","Children and families; Disabilities; Health; Retirement and seniors"
3,"Content Page",/substance-abuse,96,"Find help for substance abuse",http://localhost/substance-abuse,Home,Health,"Substance abuse","Substance abuse","Substance abuse","Substance abuse",/,/health,/substance-abuse,/substance-abuse,/substance-abuse,/substance-abuse,http://localhost/es/ayuda-abuso-alcohol-drogas,1,"USAGov English","Children and families; Health; Retirement and seniors"
4,"Content Page",/school-meals,97,"School meals and food programs for children",http://localhost/school-meals,Home,"Government benefits","Food assistance","School meals and food programs for children","School meals and food programs for children","School meals and food programs for children",/,/benefits,/food-help,/school-meals,/school-meals,/school-meals,http://localhost/es/comida-gratis-en-escuela,1,"USAGov English","Children and families; Food"
4,"Content Page",/senior-food-programs,98,"Food assistance programs for older adults",http://localhost/senior-food-programs,Home,"Government benefits","Food assistance","Food assistance programs for older adults","Food assistance programs for older adults","Food assistance programs for older adults",/,/benefits,/food-help,/senior-food-programs,/senior-food-programs,/senior-food-programs,http://localhost/es/programas-alimentos-adultos-mayores,1,"USAGov English","Food; Retirement and seniors"
4,"Content Page",/native-american-food-programs,99,"Food assistance for Native Americans",http://localhost/native-american-food-programs,Home,"Government benefits","Food assistance","Food assistance for Native Americans","Food assistance for Native Americans","Food assistance for Native Americans",/,/benefits,/food-help,/native-american-food-programs,/native-american-food-programs,/native-american-food-programs,None,1,"USAGov English",Food
4,"Content Page",/emergency-food-assistance,100,"How to get emergency food assistance",http://localhost/emergency-food-assistance,Home,"Government benefits","Food assistance","Get emergency food assistance","Get emergency food assistance","Get emergency food assistance",/,/benefits,/food-help,/emergency-food-assistance,/emergency-food-assistance,/emergency-food-assistance,http://localhost/es/conseguir-alimentos-emergencia,1,"USAGov English",Food
4,"Content Page",/help-with-energy-bills,101,"Get help with energy bills",http://localhost/help-with-energy-bills,Home,"Government benefits","Help with utility bills","Help with energy bills","Help with energy bills","Help with energy bills",/,/benefits,/help-with-utility-bills,/help-with-energy-bills,/help-with-energy-bills,/help-with-energy-bills,http://localhost/es/ayuda-pagar-luz-gas,1,"USAGov English","Housing and utilities; Welfare and cash assistance"
4,"Content Page",/help-with-phone-internet-bills,102,"Get help paying for phone and internet service",http://localhost/help-with-phone-internet-bills,Home,"Government benefits","Help with utility bills","Help paying for phone and internet service","Help paying for phone and internet service","Help paying for phone and internet service",/,/benefits,/help-with-utility-bills,/help-with-phone-internet-bills,/help-with-phone-internet-bills,/help-with-phone-internet-bills,http://localhost/es/ayuda-pagar-telefono-internet,1,"USAGov English","Housing and utilities; Welfare and cash assistance"
3,"Navigation Page",/help-with-utility-bills,103,"Help with utility bills",http://localhost/help-with-utility-bills,Home,"Government benefits","Help with utility bills","Help with utility bills","Help with utility bills","Help with utility bills",/,/benefits,/help-with-utility-bills,/help-with-utility-bills,/help-with-utility-bills,/help-with-utility-bills,http://localhost/es/ayuda-pagar-facturas,,"USAGov English"
4,"Content Page",/what-is-social-security,104,"Social Security benefits and how to apply",http://localhost/what-is-social-security,Home,"Government benefits","Social Security","Social Security benefits and how to apply","Social Security benefits and how to apply","Social Security benefits and how to apply",/,/benefits,/social-security,/what-is-social-security,/what-is-social-security,/what-is-social-security,http://localhost/es/que-es-el-seguro-social,1,"USAGov English","Disabilities; Retirement and seniors; Welfare and cash assistance"
4,"Content Page",/social-security-calculators,105,"Use Social Security retirement calculators to estimate your benefits",http://localhost/social-security-calculators,Home,"Government benefits","Social Security","Social Security retirement calculators","Social Security retirement calculators","Social Security retirement calculators",/,/benefits,/social-security,/social-security-calculators,/social-security-calculators,/social-security-calculators,http://localhost/es/beneficios-jubilacion-seguro-social,,"USAGov English"
4,"Content Page",/social-security-report-a-death,106,"Report the death of a Social Security or Medicare beneficiary",http://localhost/social-security-report-a-death,Home,"Government benefits","Social Security","Report the death of a Social Security beneficiary","Report the death of a Social Security beneficiary","Report the death of a Social Security beneficiary",/,/benefits,/social-security,/social-security-report-a-death,/social-security-report-a-death,/social-security-report-a-death,http://localhost/es/reportar-muerte-al-seguro-social,,"USAGov English"
4,"Content Page",/social-security-disability,107,"SSDI and SSI benefits for people with disabilities",http://localhost/social-security-disability,Home,"Government benefits","Social Security","SSDI and SSI benefits for people with disabilities","SSDI and SSI benefits for people with disabilities","SSDI and SSI benefits for people with disabilities",/,/benefits,/social-security,/social-security-disability,/social-security-disability,/social-security-disability,http://localhost/es/seguro-social-incapacidad-discapacidad,1,"USAGov English","Disabilities; Retirement and seniors; Welfare and cash assistance"
4,"Content Page",/social-security-abroad,108,"Getting Social Security benefits if you are living outside the U.S.",http://localhost/social-security-abroad,Home,"Government benefits","Social Security","Social Security benefits abroad","Social Security benefits abroad","Social Security benefits abroad",/,/benefits,/social-security,/social-security-abroad,/social-security-abroad,/social-security-abroad,http://localhost/es/beneficios-seguro-social-extranjero,1,"USAGov English","Retirement and seniors"
4,"Content Page",/social-security-card,109,"How to get, replace, or correct a Social Security card",http://localhost/social-security-card,Home,"Government benefits","Social Security","Get, replace, or correct a Social Security card","Get, replace, or correct a Social Security card","Get, replace, or correct a Social Security card",/,/benefits,/social-security,/social-security-card,/social-security-card,/social-security-card,http://localhost/es/sacar-reemplazar-tarjeta-seguro-social,,"USAGov English"
3,"Content Page",/government-checks-payments,110,"Government checks and payments",http://localhost/government-checks-payments,Home,"Government benefits","Government checks and payments","Government checks and payments","Government checks and payments","Government checks and payments",/,/benefits,/government-checks-payments,/government-checks-payments,/government-checks-payments,/government-checks-payments,http://localhost/es/cheques-pagos-del-gobierno,,"USAGov English"
3,"Content Page",/report-incorrect-benefit-payments,111,"Where to report incorrect benefit payments",http://localhost/report-incorrect-benefit-payments,Home,"Government benefits","Report incorrect benefit payments","Report incorrect benefit payments","Report incorrect benefit payments","Report incorrect benefit payments",/,/benefits,/report-incorrect-benefit-payments,/report-incorrect-benefit-payments,/report-incorrect-benefit-payments,/report-incorrect-benefit-payments,http://localhost/es/reportar-pagos-equivocados-gobierno,,"USAGov English"
3,"Navigation Page",/social-security,112,"Social Security",http://localhost/social-security,Home,"Government benefits","Social Security","Social Security","Social Security","Social Security",/,/benefits,/social-security,/social-security,/social-security,/social-security,http://localhost/es/seguro-social,,"USAGov English"
3,"Content Page",/identity-theft,115,"Identity theft",http://localhost/identity-theft,Home,"Scams and fraud","Identity theft","Identity theft","Identity theft","Identity theft",/,/scams-and-fraud,/identity-theft,/identity-theft,/identity-theft,/identity-theft,http://localhost/es/robo-identidad,,"USAGov English"
3,"Content Page",/imposter-scams,116,"Imposter scams",http://localhost/imposter-scams,Home,"Scams and fraud","Imposter scams","Imposter scams","Imposter scams","Imposter scams",/,/scams-and-fraud,/imposter-scams,/imposter-scams,/imposter-scams,/imposter-scams,http://localhost/es/estafas-impostores,,"USAGov English"
3,"Content Page",/unemployment-scams,117,"Unemployment scams",http://localhost/unemployment-scams,Home,"Scams and fraud","Unemployment scams","Unemployment scams","Unemployment scams","Unemployment scams",/,/scams-and-fraud,/unemployment-scams,/unemployment-scams,/unemployment-scams,/unemployment-scams,http://localhost/es/estafas-beneficios-desempleo,,"USAGov English"
3,"Navigation Page",/food-help,120,"Food assistance",http://localhost/food-help,Home,"Government benefits","Food assistance","Food assistance","Food assistance","Food assistance",/,/benefits,/food-help,/food-help,/food-help,/food-help,http://localhost/es/asistencia-alimentaria,,"USAGov English"
2,"Navigation Cards Page",/benefits,123,"Government benefits",http://localhost/benefits,Home,"Government benefits","Government benefits","Government benefits","Government benefits","Government benefits",/,/benefits,/benefits,/benefits,/benefits,/benefits,http://localhost/es/beneficios-gobierno,,"USAGov English"
3,"Content Page",/es/estafas-tramites-migratorios,124,"Estafas relacionadas con trámites migratorios",http://localhost/es/estafas-tramites-migratorios,"Página principal","Estafas y fraudes","Estafas relacionadas con trámites migratorios","Estafas relacionadas con trámites migratorios","Estafas relacionadas con trámites migratorios","Estafas relacionadas con trámites migratorios",/es/,/es/estafas-y-fraudes,/es/estafas-tramites-migratorios,/es/estafas-tramites-migratorios,/es/estafas-tramites-migratorios,/es/estafas-tramites-migratorios,None,,"USAGov en Español"
3,"Content Page",/covid-tests-vaccinations,131,"COVID-19 testing and vaccinations",http://localhost/covid-tests-vaccinations,Home,Health,"COVID-19 testing and vaccinations","COVID-19 testing and vaccinations","COVID-19 testing and vaccinations","COVID-19 testing and vaccinations",/,/health,/covid-tests-vaccinations,/covid-tests-vaccinations,/covid-tests-vaccinations,/covid-tests-vaccinations,http://localhost/es/covid-pruebas-vacunas,1,"USAGov English","Disabilities; Health; Retirement and seniors"
4,"Content Page",/auctions-and-sales,144,"Government auctions of seized and surplus property",http://localhost/auctions-and-sales,Home,"The U.S. and its government","Buying from the U.S. government","Seized and surplus property","Seized and surplus property","Seized and surplus property",/,/about-the-us,/buy-from-government,/auctions-and-sales,/auctions-and-sales,/auctions-and-sales,None,,"USAGov English"
3,"Navigation Page",/buy-from-government,145,"Buying from the U.S. government",http://localhost/buy-from-government,Home,"The U.S. and its government","Buying from the U.S. government","Buying from the U.S. government","Buying from the U.S. government","Buying from the U.S. government",/,/about-the-us,/buy-from-government,/buy-from-government,/buy-from-government,/buy-from-government,None,,"USAGov English"
4,"Content Page",/boat-aircraft-auctions,147,"Government auctions of boats and aircraft",http://localhost/boat-aircraft-auctions,Home,"The U.S. and its government","Buying from the U.S. government","Boats and aircraft","Boats and aircraft","Boats and aircraft",/,/about-the-us,/buy-from-government,/boat-aircraft-auctions,/boat-aircraft-auctions,/boat-aircraft-auctions,None,,"USAGov English"
4,"Content Page",/car-auctions,148,"Government vehicle auctions",http://localhost/car-auctions,Home,"The U.S. and its government","Buying from the U.S. government","Vehicle auctions","Vehicle auctions","Vehicle auctions",/,/about-the-us,/buy-from-government,/car-auctions,/car-auctions,/car-auctions,None,,"USAGov English"
4,"Content Page",/real-estate-sales,149,"Real estate and federal lands for sale by the government",http://localhost/real-estate-sales,Home,"The U.S. and its government","Buying from the U.S. government","Real estate and federal lands for sale","Real estate and federal lands for sale","Real estate and federal lands for sale",/,/about-the-us,/buy-from-government,/real-estate-sales,/real-estate-sales,/real-estate-sales,None,,"USAGov English"
4,"Content Page",/indian-tribes-alaska-native,150,"Federally recognized American Indian tribes and Alaska Native entities",http://localhost/indian-tribes-alaska-native,Home,"The U.S. and its government","Indian tribes and resources for Native Americans","Indian tribes and Alaska Native entities","Indian tribes and Alaska Native entities","Indian tribes and Alaska Native entities",/,/about-the-us,/tribes,/indian-tribes-alaska-native,/indian-tribes-alaska-native,/indian-tribes-alaska-native,None,,"USAGov English"
3,"Navigation Page",/tribes,151,"Federally recognized Indian tribes and resources for Native Americans",http://localhost/tribes,Home,"The U.S. and its government","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans",/,/about-the-us,/tribes,/tribes,/tribes,/tribes,None,,"USAGov English"
4,"Content Page",/native-american-financial-assistance,152,"Financial assistance and services for Native Americans",http://localhost/native-american-financial-assistance,Home,"Government benefits","Welfare and financial assistance","Financial assistance and services for Native Americans","Financial assistance and services for Native Americans","Financial assistance and services for Native Americans",/,/benefits,/welfare-and-financial-assistance,/native-american-financial-assistance,/native-american-financial-assistance,/native-american-financial-assistance,None,1,"USAGov English","Children and families; Death; Disabilities; Disasters; Health; Welfare and cash assistance"
3,"Content Page",/native-american-housing-help,153,"Housing assistance for Native Americans",http://localhost/native-american-housing-help,Home,"Housing help","Housing assistance for Native Americans","Housing assistance for Native Americans","Housing assistance for Native Americans","Housing assistance for Native Americans",/,/housing-help,/native-american-housing-help,/native-american-housing-help,/native-american-housing-help,/native-american-housing-help,None,1,"USAGov English","Housing and utilities"
4,"Content Page",/flag,154,"The American flag and other national symbols",http://localhost/flag,Home,"The U.S. and its government","U.S. facts and figures","American flag","American flag","American flag",/,/about-the-us,/facts-figures,/flag,/flag,/flag,http://localhost/es/bandera-simbolos-estados-unidos,,"USAGov English"
3,"Content Page",/branches-of-government,155,"Branches of the U.S. government",http://localhost/branches-of-government,Home,"The U.S. and its government","Branches of government","Branches of government","Branches of government","Branches of government",/,/about-the-us,/branches-of-government,/branches-of-government,/branches-of-government,/branches-of-government,http://localhost/es/ramas-gobierno-estados-unidos,,"USAGov English"
4,"Content Page",/presidents,156,"Presidents, vice presidents, and first ladies",http://localhost/presidents,Home,"The U.S. and its government","U.S. facts and figures","Presidents, vice presidents, and first ladies","Presidents, vice presidents, and first ladies","Presidents, vice presidents, and first ladies",/,/about-the-us,/facts-figures,/presidents,/presidents,/presidents,http://localhost/es/presidente-vicepresidente-primera-dama,,"USAGov English"
4,"Content Page",/presidential-succession,157,"Order of presidential succession",http://localhost/presidential-succession,Home,"The U.S. and its government","U.S. facts and figures","Order of presidential succession","Order of presidential succession","Order of presidential succession",/,/about-the-us,/facts-figures,/presidential-succession,/presidential-succession,/presidential-succession,http://localhost/es/sucesion-presidencial,,"USAGov English"
4,"Content Page",/holidays,158,"American holidays",http://localhost/holidays,Home,"The U.S. and its government","U.S. facts and figures","American holidays","American holidays","American holidays",/,/about-the-us,/facts-figures,/holidays,/holidays,/holidays,http://localhost/es/dias-festivos-estados-unidos,,"USAGov English"
4,"Content Page",/currency,159,"American money",http://localhost/currency,Home,"The U.S. and its government","U.S. facts and figures","American money","American money","American money",/,/about-the-us,/facts-figures,/currency,/currency,/currency,http://localhost/es/moneda-estadounidense,,"USAGov English"
4,"Content Page",/historical-documents,160,"Historical documents",http://localhost/historical-documents,Home,"The U.S. and its government","U.S. facts and figures","Historical documents","Historical documents","Historical documents",/,/about-the-us,/facts-figures,/historical-documents,/historical-documents,/historical-documents,http://localhost/es/documentos-historicos-estados-unidos,,"USAGov English"
4,"Content Page",/national-anthem,161,"The U.S. national anthem",http://localhost/national-anthem,Home,"The U.S. and its government","U.S. facts and figures","U.S. national anthem","U.S. national anthem","U.S. national anthem",/,/about-the-us,/facts-figures,/national-anthem,/national-anthem,/national-anthem,http://localhost/es/himno-nacional-estados-unidos,,"USAGov English"
4,"Content Page",/official-language-of-us,162,"Official language of the United States",http://localhost/official-language-of-us,Home,"The U.S. and its government","U.S. facts and figures","Official language of the United States","Official language of the United States","Official language of the United States",/,/about-the-us,/facts-figures,/official-language-of-us,/official-language-of-us,/official-language-of-us,http://localhost/es/idioma-oficial-estados-unidos,,"USAGov English"
4,"Content Page",/census-data,163,"U.S. Census data",http://localhost/census-data,Home,"The U.S. and its government","U.S. facts and figures","U.S. census data","U.S. census data","U.S. census data",/,/about-the-us,/facts-figures,/census-data,/census-data,/census-data,http://localhost/es/censo-estados-unidos,,"USAGov English"
